日付,始値,高値,安値,終値,出来高,終値調整値,5日平均,10日平均,25日平均,75日平均,200日平均,ゴールデンクロス（25日）,ゴールデンクロス_A（25日）,デッドクロス（25日）,ゴールデンクロス（終値）,ゴールデンクロス_A（終値）,デッドクロス（終値）,25日平均上昇場,75日平均上昇場,25日平均急上昇ポイント,25日平均上昇陰りポイント,10日平均急上昇ポイント,5営業日後騰落率,10営業日後騰落率,20営業日後騰落率,40営業日後騰落率,乖離率（25日平均）,乖離率（75日平均）,25営業日後騰落率,75営業日後騰落率,75日平均変動率,75営業日後騰落率（10日平均）
2021-03-19,909.0,942.7999877929688,907.4000244140624,935.4000244140624,13864800.0,924.4713134765624,921.0199951171876,895.9899963378906,832.1959985351563,,,False,False,False,False,False,False,True,False,False,False,False,0.0043831253783704486,-0.04960447210072238,-0.0209536413401006,-0.0246953560168694,0.11033143380935173,,-0.05184947480665338,0.007376484069720356,,0.08228887061704203
2021-03-22,935.0,955.9000244140624,929.0999755859376,951.7999877929688,10700600.0,940.6796875,929.3599975585936,906.6599975585938,840.8719970703125,,,False,False,False,False,False,False,True,False,False,False,False,-0.010821588490300713,-0.02721156094881145,-0.033830649947471,-0.0315192271325448,0.11654548449814096,,-0.05494850647586351,-0.005778524974299889,,0.06454459375982469
2021-03-23,955.0,958.2999877929688,927.7999877929688,929.0999755859376,11011200.0,918.244873046875,929.639990234375,913.0999938964844,848.3919970703125,,,False,False,False,False,False,False,True,False,False,True,False,0.0031213265421016546,-0.02583145046889532,-0.0306748474318133,0.0125928452421414,0.08686683956129322,,-0.037670865267139135,0.03993115659883262,,0.05414522930171747
2021-03-24,918.2999877929688,924.0,902.0999755859376,904.9000244140624,10877300.0,894.32763671875,927.5599975585938,917.5999938964844,854.3359985351562,,,False,False,False,False,False,False,True,False,False,True,False,0.01757096137686796,0.019891700203738302,-0.0255277223978983,0.0415515245568528,0.05587802465984811,,-0.004530927738396822,0.08774445931783365,,0.04938972060338893
2021-03-25,917.5,938.7999877929688,913.5999755859376,923.7999877929688,8092400.0,913.0067749023438,929.0,922.2699951171876,859.6799975585938,,,False,False,False,False,False,False,True,False,False,True,False,-0.013531067509389656,-0.021108465314647863,-0.0334487592414118,0.0280363983073215,0.06940895332501869,,-0.016453791305350813,0.03972722742150114,,0.04346884183283857
2021-03-26,938.7999877929688,946.0999755859376,929.4000244140624,939.5,7175600.0,928.5233764648438,929.8199951171875,925.4199951171876,866.1639965820312,,,False,False,False,False,False,False,True,False,False,False,False,-0.05375199574241618,-0.03001597893244412,-0.055987201262307,0.0065992679159459,0.07805854541561336,,-0.007770077480541511,0.01947843298879058,,0.0392794691008514
2021-03-29,954.5,954.7000122070312,931.0,941.5,9726400.0,930.5,927.7599975585938,928.5599975585938,872.9279956054687,,,False,False,False,False,False,False,True,False,False,False,False,-0.016569278370618813,-0.03154541923210966,-0.0446096654275092,0.0493892724375995,0.07283271842223185,,0.01625065086879315,0.01741903814557874,,0.03404196147283932
2021-03-30,924.2999877929688,934.0,917.0999755859376,932.0,6837100.0,932.0,928.3400024414062,928.9899963378906,878.7439965820313,,,False,False,False,False,False,False,True,False,False,True,False,-0.028862687139551917,-0.0169527766018978,-0.0406652622468481,0.0378755233830136,0.05714163456863596,,0.0650214330321219,,,
2021-03-31,929.0,938.5,920.5999755859376,920.7999877929688,8852400.0,920.7999877929688,931.5199951171876,929.5399963378908,884.1639965820312,,,False,False,False,False,False,False,True,False,False,True,False,0.00228066534419395,-0.028887897413741277,-0.0217202435546695,0.0543006088866738,0.03978713259841472,,0.06874455759354456,,,
2021-04-01,920.2000122070312,923.7000122070312,900.9000244140624,911.2999877929688,10088500.0,911.2999877929688,929.0199951171876,929.0099975585938,887.65599609375,,,False,False,False,False,False,False,True,False,False,True,False,-0.007681334460404136,-0.00471852063049257,-0.0029628138299114,0.0882256397355817,0.025945344031531203,,0.03226163152406589,,,
2021-04-02,919.5999755859376,922.0,880.2000122070312,889.0,8935600.0,889.0,918.9199951171876,924.3699951171876,891.5479956054687,,,False,False,False,False,False,False,True,False,False,False,False,0.025084350723249438,0.030146217989841115,0.0485939394904738,0.1168729183510263,-0.002866136789053671,,0.035320612389271526,,,
2021-04-05,894.5999755859375,927.2999877929688,886.7000122070312,925.9000244140624,5746700.0,925.9000244140624,915.8,921.7799987792968,895.9599975585937,,,False,False,False,False,False,False,True,False,False,False,False,-0.015228465546284618,-0.006804243073772068,0.0333728940103018,0.0956906504479318,0.032336133563033026,,0.0029160288375452183,,,
2021-04-06,920.7999877929688,922.7999877929688,900.7000122070312,905.0999755859376,7776700.0,905.0999755859376,910.4199951171876,919.3799987792968,900.3239965820312,,,False,False,False,False,False,False,True,False,False,True,False,0.012263879041547613,-0.004971826451643569,0.0966744032264003,0.1192133767810686,0.005276741943136788,,0.018671997425612305,,,
